material_id,spacegroup_symbol,spacegroup_number,original_formula,discharged_formula,charged_formula,replaced_element,vpv,discharged_energy_fu_corrected,charged_energy_fu_corrected,applied_correction,discharged_E_above_hull,charged_E_above_hull,average_voltage,mace-neb1 (meV),mace-neb2,mace-neb3,mace-neb4,other_dir,orbv3-neb1 (meV),orbv3-neb2,orbv3-neb3,orbv3-neb4,mace_candidate,orbv3_candidate,TL_neb1 (meV),TL_neb2,TL_neb3,TL_neb4,TL_candidate
mp-764299,P1,1,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.59703680429856,-174.8833549096026,-157.704363882938,-13.574,0.0262840684271603,0.0253111996447383,3.3,1174.0,,,,,1364.1,,,,0,0,2074.9,,,,0
mp-759523,P2_1,4,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.521731108712014,-174.8797850180359,-157.64617046633856,-13.574,0.0264463362256464,0.0282208704747102,3.32,988.0,,,,,1179.9,,,,1,0,1955.3,,,,0
mp-1177776,P2_1,4,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.473007033493156,-174.88469240216898,-157.71885006489606,-13.574,0.0262232733105065,0.0245868905468347,3.3,1241.0,,,,,1532.4,,,,0,0,2272.4,,,,0
mp-764318,P1,1,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.543629053715208,-174.87010121989482,-157.59294202688534,-13.574,0.0268865088684231,0.0308822924473712,3.33,1032.0,,,,,1072.8,,,,0,0,1927.9,,,,0
mp-759428,P1,1,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.515404500177784,-174.88299474213505,-157.7097664101432,-13.574,0.0263004396756851,0.0250410732844779,3.3,901.0,,,,,1065.5,,,,1,0,1665.5,,,,0
mp-1177778,P1,1,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.50321031578189,-174.8787504294851,-157.6908143418922,-13.574,0.0264933629779546,0.0259886766970272,3.31,1042.0,,,,,1165.2,,,,0,0,2067.1,,,,0
mp-760164,P2_1,4,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.549298521103667,-174.8822392972071,-157.71768238980982,-13.574,0.0263347780815008,0.0246452743011467,3.3,1136.0,,,,,1309.4,,,,0,0,2197.7,,,,0
mp-1177781,P1,1,Li2VFe(P2O7)2,Ca2VFe(P2O7)2,VFeP4O14,Li,13.541133164828471,-174.88755093411723,-157.7228031689978,-13.574,0.0260933400401315,0.0243892353417471,3.3,1072.0,,,,,1209.7,,,,0,0,2186.9,,,,0
mp-18911,P2_1,4,LiVP2O7,CaVP2O7,VP2O7,Li,13.628341396345755,-88.46084439147143,-80.65023078163351,-6.509,0.0137377385025931,0.016858988336649,2.91,902.0,,,,,1075.8,,,,1,0,2228.4,,,,0
mp-26681,P-1,2,LiVP2O7,CaVP2O7,VP2O7,Li,13.490867248421477,-88.63283807323683,-79.9504798245813,-6.509,0.0,0.0868340840418708,3.35,1154.0,1376.0,,,or,1338.1,1368.7,,,0,0,1371.0,1376.0,,,0
