Image,Energy (eV)
0,-1081.8380126953125
1,-1081.588134765625
2,-1080.903076171875
3,-1079.4906005859375
4,-1078.6873779296875
5,-1079.494140625
6,-1080.9036865234375
7,-1081.585693359375
8,-1081.844970703125

Migration Barrier,3.1575927734375
