Image,Energy (eV)
0,-1128.4771373444905
1,-1128.2600224386838
2,-1127.8650656054738
3,-1126.9404770217898
4,-1126.2615073308195
5,-1126.9305501314366
6,-1127.8605481665334
7,-1128.2827330707212
8,-1128.4730820878208

Migration Barrier,2.2156300136709888
