Image,Energy (eV)
0,-612.2360229492188
1,-611.3236694335938
2,-611.4325561523438
3,-611.0567626953125
4,-611.0733032226562
5,-609.9498901367188
6,-610.6759643554688
7,-611.8734130859375
8,-613.08544921875

Migration Barrier,3.13555908203125
