Image,Energy (eV)
0,-319.3387145996094
1,-319.1044616699219
2,-318.7074890136719
3,-318.2860107421875
4,-318.3420715332031
5,-318.81585693359375
6,-318.83154296875
7,-319.1028747558594
8,-319.3372802734375

Migration Barrier,1.052703857421875
