Image,Energy (eV)
0,-318.7232971191406
1,-318.5070495605469
2,-318.12255859375
3,-317.52569580078125
4,-316.6666259765625
5,-317.5248718261719
6,-318.1227111816406
7,-318.50555419921875
8,-318.7230529785156

Migration Barrier,2.056671142578125
