Image,Energy (eV)
0,-645.98681640625
1,-645.6751098632812
2,-645.1141967773438
3,-644.7797241210938
4,-645.1238403320312
5,-645.501220703125
6,-645.5914916992188
7,-645.7648315429688
8,-645.9879760742188

Migration Barrier,1.208251953125
