Image,Energy (eV)
0,-1296.599609375
1,-1296.3428955078125
2,-1295.6055908203125
3,-1294.856689453125
4,-1294.3853759765625
5,-1294.8621826171875
6,-1295.6077880859375
7,-1296.3365478515625
8,-1296.5992431640625

Migration Barrier,2.2142333984375
