Image,Energy (eV)
0,-612.314208984375
1,-612.1493530273438
2,-612.021728515625
3,-611.9794311523438
4,-611.6558837890625
5,-611.482177734375
6,-611.8488159179688
7,-612.12841796875
8,-612.314697265625

Migration Barrier,0.83251953125
