Image,Energy (eV)
0,-862.092134596145
1,-862.2642939958987
2,-862.4142382366344
3,-861.5199584970097
4,-860.3568100570592
5,-861.5199587233321
6,-862.4142385074122
7,-862.2642943100417
8,-862.092134493945

Migration Barrier (eV),2.0574284503529725
