Image,Energy (eV)
0,-241.1148223876953
1,-241.01504516601562
2,-240.69760131835938
3,-240.3507537841797
4,-240.0425567626953
5,-240.1650848388672
6,-240.3919219970703
7,-240.88783264160156
8,-241.11618041992188

Migration Barrier,1.0736236572265625
