Image,Energy (eV)
0,-613.9906423285355
1,-613.8214482619364
2,-613.6930897702872
3,-613.6270590998456
4,-613.4663420546543
5,-613.2573443403164
6,-613.609681007685
7,-613.8487242669556
8,-613.9906423284895

Migration Barrier,0.7332979882190784
