Image,Energy (eV)
0,-319.7903633497601
1,-319.55786836736667
2,-319.3112685828794
3,-318.84256499505864
4,-318.9538616497645
5,-319.3570719670255
6,-319.5521202490571
7,-319.58303977444723
8,-319.6691289177825

Migration Barrier,0.9477983547014901
