Image,Energy (eV)
0,-920.0676126749789
1,-920.0267395599345
2,-919.9383534965568
3,-919.518646741066
4,-918.9374339202309
5,-919.5185981069618
6,-919.9383350202479
7,-920.0267482868736
8,-920.0676202894828

Migration Barrier,1.1301863692518737
