Image,Energy (eV)
0,-1174.019287109375
1,-1174.197509765625
2,-1173.871826171875
3,-1173.1319580078125
4,-1172.5574951171875
5,-1173.1895751953125
6,-1173.872314453125
7,-1173.955322265625
8,-1173.962890625

Migration Barrier,1.6400146484375
