Image,Energy (eV)
0,-319.02496337890625
1,-318.7523193359375
2,-318.5810546875
3,-318.5429992675781
4,-318.2078857421875
5,-317.75537109375
6,-318.1313171386719
7,-318.6189270019531
8,-318.97320556640625

Migration Barrier,1.26959228515625
