Image,Energy (eV)
0,-315.03442082689486
1,-314.90848352960757
2,-314.9033617415474
3,-314.8375635354458
4,-314.52093117199536
5,-314.30709164513786
6,-314.79425422346935
7,-315.19426847388695
8,-315.44284536199996

Migration Barrier,1.135753716862098
